acl 2.2.53-3
python-appdirs 1.4.4-1
python-attrs 19.3.0-4
python-jinja 2.11.2-1
python-lxml 4.5.1-1
python-markupsafe 1.1.1-4
python-ordered-set 3.1.1-2
python-packaging 20.4-1
python-pygments 2.6.1-2
python-pyparsing 2.4.7-1
python-pypeg2 2.15.2-5
python-pyqt5 5.14.2-1
python-pyqt5-sip 12.7.2-1
python-pyqtwebengine 5.14.0-4
python-setuptools 1:46.4.0-1
python-six 1.14.0-1
python-yaml 5.3.1-1
qt5-base 5.14.2-2
qt5-declarative 5.14.2-1
qt5-location 5.14.2-2
qt5-webchannel 5.14.2-1
qt5-webengine 5.14.2-3
qutebrowser 1.11.1-1
ranger 1.9.3-1
re2 1:20200501-1
readline 8.0.004-1
rest 0.8.1-3
run-parts 4.8.6.1-2
sdl2 2.0.12-1
sed 4.8-1
shadow 4.8.1-1
shared-mime-info 2.0+1+g6bf9e4f-2
slang 2.3.2-2
snappy 1.1.8-1
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-1
sqlite 3.31.1-1
srt 1.4.1-2
st 0.8.3-1
startup-notification 0.12-7
sudo 1.8.31.p1-1
sysfsutils 2.1.0-11
systemd 245.5-2
systemd-libs 245.5-2
systemd-sysvcompat 245.5-2
tar 1.32-3
tdb 1.4.3-2
texinfo 6.7-3
tslib 1.21-1
tzdata 2020a-1
upower 0.99.11-1
usbmuxd 1.1.0+69+g8a69f1a-1
util-linux 2.35.1-2
v4l-utils 1.18.1-1
vala 0.48.6-1
vid.stab 1.1-3
vim 8.2.0717-2
vim-runtime 8.2.0717-2
vmaf 1.5.1-1
vulkan-icd-loader 1.2.140-1
wayland 1.18.0-2
wayland-protocols 1.20-1
which 2.21-5
wireless_tools 30.pre9-3
wpa_supplicant 2:2.9-7
x264 3:0.159.r2999.296494a-1
x265 3.3-1
xcb-proto 1.14-1
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 0.30.0-1
xkeyboard-config 2.29-1
xorg-server 1.20.8-2
xorg-server-common 1.20.8-2
xorg-setxkbmap 1.3.2-2
xorg-xkbcomp 1.4.3-1
xorg-xprop 1.2.4-2
xorg-xset 1.2.4-2
xorgproto 2020.1-1
xvidcore 1.3.7-2
xz 5.2.5-1
yajl 2.1.0-3
zeromq 4.3.2-1
zita-alsa-pcmi 0.3.2-3
zita-resampler 1.6.2-3
zlib 1:1.2.11-4
zstd 1.4.4-1
